id,osm_id,osm_type,coordinates,name,description,amenity,bicycle_parking,capacity,access,covered,fee,supervised,lit,operator,operator_type,building,level,surface,addr_city,addr_street,addr_housenumber,addr_suburb,addr_postcode,opening_hours,payment_none,ref,source,source_date,wikidata,wikipedia,created_at,updated_at
83,way/496540101,way,POINT(-38.5390256 -3.7400332),Bicicletário do Centro de Humanidades II,,bicycle_parking,stands,8,,,,,,Universidade Federal do Ceará,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
84,way/500455010,way,POINT(-46.7014312 -23.5647179),,,bicycle_parking,,,permissive,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
85,node/501404665,node,POINT(-35.1989803 -5.84244),,,bicycle_parking,,,yes,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
86,way/503649076,way,POINT(-46.5134927 -18.5739411),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
87,way/503649117,way,POINT(-46.5136287 -18.5752807),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
88,way/508831574,way,POINT(-53.7177901 -29.7224771),,,bicycle_parking,wall_loops,17,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
89,way/511205192,way,POINT(-53.7164554 -29.7147277),,,bicycle_parking,,10,yes,,,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
90,way/511205195,way,POINT(-53.718108 -29.7208518),,,bicycle_parking,,20,yes,,,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
91,way/515023206,way,POINT(-53.714532 -29.71745),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
92,way/515023207,way,POINT(-53.7147418 -29.7174809),,,bicycle_parking,,12,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
93,way/523905449,way,POINT(-43.2816701 -22.6280262),,,bicycle_parking,floor,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
94,way/523905450,way,POINT(-43.2820174 -22.628046),,,bicycle_parking,floor,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
95,node/527166756,node,POINT(-43.1843705 -22.9493785),,,bicycle_parking,stands,12,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
96,way/527320340,way,POINT(-51.2382604 -30.0630528),,,bicycle_parking,wall_loops,5,customers,yes,no,yes,yes,Parque Gigante,,shed,,,,,,,,Tu-Su 09:00-18:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
97,node/527338791,node,POINT(-43.1884034 -22.9494454),,,bicycle_parking,stands,12,,no,no,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
98,way/528273465,way,POINT(-51.1491177 -29.8233779),Bicicletário Municipal,,bicycle_parking,shed,150,yes,yes,no,yes,yes,Prefeitura,,yes,,,,Avenida Sapucaia,2091,,,Mo-Fr 05:00-23:55,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
99,way/528813731,way,POINT(-53.8314851 -29.7068885),,,bicycle_parking,stands,100,,no,yes,,,,,,,asphalt,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
100,way/532511164,way,POINT(-51.1826351 -29.9188764),,,bicycle_parking,stands,82,yes,no,no,no,no,Prefeitura,,,,,,,,,,24/7,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
101,node/533915669,node,POINT(-45.1196358 -22.740101),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
102,way/535689027,way,POINT(-46.7020999 -23.567092),Bicicletário Terminal Pinheiros,,bicycle_parking,shed,34,yes,yes,no,yes,,Socicam,,yes,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
103,way/535728001,way,POINT(-38.6136149 -3.8539269),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
104,way/540762601,way,POINT(-46.726199 -23.3299989),Bicicletário Estação Franco da Rocha,,bicycle_parking,building,180,yes,yes,no,yes,,CPTM,,yes,,,,,,,,Mo-Su 04:00-23:59,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
105,way/543219235,way,POINT(-45.8196535 -23.1686028),,,bicycle_parking,,,,,,,,,,industrial,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
106,way/544261922,way,POINT(-48.5078848 -27.5796947),Bicicletário Rústico,,bicycle_parking,ground_slots,,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
107,way/544261923,way,POINT(-48.507979 -27.5796953),Bicicletário Rústico,,bicycle_parking,ground_slots,,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
108,way/544521943,way,POINT(-38.5935821 -3.8070698),,,bicycle_parking,,,private,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
109,way/544775252,way,POINT(-49.0218882 -28.4792394),,,bicycle_parking,stands,,yes,yes,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.062Z,2026-07-02T22:07:42.062Z
