our_code,cttu_code,law_code,description,category,total
,"5835","Art. 195","Desobedecer às ordens emanadas da autoridade competente de trânsito ou de seus agentes.","Administrativas/documentais",848
,"5509","Art. 181; Inc. XIII","Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque e desembarqu","Transporte coletivo",845
,"5045","Art. 162; Inc. V","Dirigir veculo com validade da CNH/PPD vencida h mais de trinta dias.","Administrativas/documentais",833
,"5193","Art.168","Transportar crianas sem observncia das normas de segurana especiais estabelecidas no CTB.","Segurança viária",814
,"5991","Art. 206; Inc. I","Executar operação de retorno em locais proibidos pela sinalização.","Segurança viária",812
,"5851","Art. 197","Deixar de deslocar, com antecedência, o veículo para a faixa mais à direita, quando for manobrar.","Segurança viária",806
,"6769","Art. 230; Inc. XXII","Conduzir o veculo com defeito no sistema de iluminao, de sinalizao ou com lmpadas queimadas.","Segurança viária",800
,"6033","Art. 206; Inc. V","Executar operao de retorno com prejuzo da livre circulao ou da segurana, ainda que em locais p","Segurança viária",793
,"6122","Art. 214; Inc. I","Deixar de dar preferncia de passagem a pedestre e a veculo no motorizado na faixa a ele destinada","Pedestres",792
,"7366","Art. 252; Inc. VI","Dirigir o veculo utilizando-se de fones nos ouvidos conectados aparelhagem sonora.","Segurança viária",790
,"5703","Art. 185; Inc. I","Deixar de conservar o veículo na faixa a ele destinada pela sinalização de regulamentação, exceto em","Fluidez do trânsito",785
,"7358","Art. 252; Inc. V","Dirigir o veículo com apenas uma das mãos, exceto quando permitido pelo CTB.","Segurança viária",780
,"6483","Art. 227; Inc. I","Usar buzina em situao que no a de simples toque breve como advertncia ao pedestre ou a condutore","Outras/não classificadas",771
,"5045","Art. 162; Inc. V","Dirigir veículo com validade da CNH/PPD vencida há mais de trinta dias.","Administrativas/documentais",771
,"5622","Art. 182; Inc. VI","Parar o veículo sobre faixa destinada a pedestres.","Pedestres",766
,"5819","Art. 193","Transitar com veículo em calçadas, passeios.","Pedestres",757
,"5819","Art. 193","Transitar com veculo em marcas de canalizao.","Pedestres",748
,"7048","Art. 244; Inc. II","Conduzir motocicleta, motoneta e ciclomotor transportando passageiro sem o capacete de segurança.","Segurança viária",746
,"6769","Art. 230; Inc. XXII","Conduzir o veículo com defeito no sistema de iluminação, de sinalização ou com lâmpadas queimadas.","Segurança viária",702
,"6033","Art. 206; Inc. V","Executar operação de retorno com prejuízo da livre circulação ou da segurança, ainda que em locais p","Segurança viária",696
,"5452","Art. 181; Inc. VIII","Estacionar o veículo ao lado ou sobre gramados ou jardim público.","Estacionamento/uso da via",657
,"6556","Art. 230; Inc. I","Conduzir o veculo com o lacre de identificao violado ou falsificado.","Administrativas/documentais",653
,"6645","Art. 230; Inc. X","Conduzir o veículo com equipamento obrigatório em desacordo com o estabelecido pelo CONTRAN.","Segurança viária",651
,"5410","Art. 181; Inc. IV","Estacionar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.","Estacionamento/uso da via",595
,"6017","Art. 206; Inc. III","Executar operao de retorno passando por cima de faixas de pedestres.","Pedestres",585
,"7064","Art. 244; Inc. IV","Conduzir motocicleta, motoneta e ciclomotor com faris apagados.","Segurança viária",573
,"7315","Art. 252; Inc. I","Dirigir o veículo com o braço do lado de fora.","Segurança viária",568
,"5819","Art. 193","Transitar com veculo em ciclovias, ciclofaixas.","Ciclistas",560
,"5665","Art. 182; Inc. X","Parar o veículo em local e horário proibidos especificamente pela sinalização (placa - Proibido Para","Estacionamento/uso da via",544
,"5681","Art. 184; Inc. I","Transitar com o veculo na faixa ou pista da direita, regulamentada como de circulao exclusiva par","Fluidez do trânsito",511
,"7323","Art. 252; Inc. II","Dirigir o veculo transportando animais sua esquerda ou entre os braos e pernas.","Segurança viária",510
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de canteiros de divisões de pista de rolamento.","Ciclistas",488
,"5819","Art. 193","Transitar com veículo em canteiros centrais divisores de pista de rolamento.","Pedestres",476
,"5231","Art. 172","Atirar do veculo objetos ou substncias.","Segurança viária",444
,"6190","Art. 216","Entrar ou sair de áreas lindeiras sem estar adequadamente posicionado para ingresso na via e sem as","Pedestres",440
,"5819","Art. 193","Transitar com veículo em marcas de canalização.","Pedestres",429
,"6408","Art. 221","Portar no veículo placas de identificação em desacordo com as especificações e modelos estabelecidos","Administrativas/documentais",429
,"5690","Art. 184; Inc. II","Transitar com o veculo na faixa ou pista da esquerda regulamentada como de circulao exclusiva par","Fluidez do trânsito",421
,"6599","Art. 230; Inc. V","Conduzir o veculo que no esteja registrado.","Administrativas/documentais",403
,"5690","Art. 184; Inc. II","Transitar com o veículo na faixa ou pista da esquerda regulamentada como de circulação exclusiva par","Fluidez do trânsito",402
,"6912","Art. 232","Conduzir veculo sem os documentos de porte obrigatrio referidos no CTB.","Administrativas/documentais",358
,"6726","Art. 230; Inc. XVIII","Conduzir o veculo em mau estado de conservao, comprometendo a segurana.","Segurança viária",357
,"5118","Art. 164; c/c Art. 162; Inc. I","Permitir posse/condução do veículo a pessoa sem Carteira Nacional de Habilitação, Permissão para Dir","Administrativas/documentais",341
,"5452","Art. 181; Inc. VIII","Estacionar o veículo ao lado ou sobre marcas de canalização.","Estacionamento/uso da via",328
,"5622","Art. 182; Inc. VI","Parar o veculo nas marcas de canalizao.","Pedestres",324
,"7670","Art. 182; XI","Parar o veículo sobre ciclovia ou ciclofaixa.","Ciclistas",320
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de faixas de pedestres.","Pedestres",313
,"6068","Art. 209","Transpor, sem autorizao, bloqueio virio com ou sem sinalizao ou dispositivos auxiliares.","Administrativas/documentais",312
,"5827","Art. 194","Transitar em marcha r, salvo na distncia necessria a pequenas manobras e de forma a no causar","Segurança viária",310
,"5894","Art. 201","Deixar de guardar a distância lateral de um metro e cinqüenta centímetros ao passar ou ultrapassar b","Ciclistas",293
,"5770","Art. 189","Deixar de dar passagem as ambulncias, em servio de urgncia e devidamente identificados.","Segurança viária",289
,"6130","Art. 214; Inc. II","Deixar de dar preferncia de passagem a pedestre e a veculo no motorizado que no haja concludo a","Pedestres",281
,"6637","Art. 230; Inc. IX","Conduzir o veculo com equipamento obrigatrio ineficiente ou inoperante.","Segurança viária",277
,"5967","Art. 203; Inc. V","Ultrapassar pela contramo outro veculo onde houver marcao viria longitudinal de diviso de flux","Segurança viária",276
,"5592","Art. 182; Inc. III","Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.","Estacionamento/uso da via",273
,"6017","Art. 206; Inc. III","Executar operao de retorno passando por cima de calada, passeio.","Pedestres",270
,"5274","Art. 175","Utilizar veculo para demonstrar/exibir manobra perigosa mediante arrancada brusca","Segurança viária",266
,"6068","Art. 209","Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares.","Administrativas/documentais",263
,"6076","Art. 210","Transpor, sem autorização, bloqueio viário policial.","Segurança viária",260
,"5118","Art. 164; c/c Art. 162; Inc. I","Permitir posse/conduo do veculo a pessoa sem Carteira Nacional de Habilitao, Permisso para Dir","Administrativas/documentais",253
,"7684","Art. 244; X","Conduzir motocicleta, motoneta ou ciclomotor com a utilização de capacete de segurança sem viseira o","Segurança viária",240
,"6637","Art. 230; Inc. IX","Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante.","Segurança viária",237
,"5622","Art. 182; Inc. VI","Parar o veculo nos canteiros centrais e divisores de pista de rolamento.","Pedestres",233
,"7323","Art. 252; Inc. II","Dirigir o veículo transportando animais à sua esquerda ou entre os braços e pernas.","Segurança viária",216
,"5681","Art. 184; Inc. I","Transitar com o veículo na faixa ou pista da direita, regulamentada como de circulação exclusiva par","Fluidez do trânsito",214
,"6858","Art. 231; Inc. VII","Transitar com o veculo com lotao excedente.","Segurança viária",213
,"5274","Art. 175","Utilizar veículo para demonstrar/exibir manobra perigosa mediante arrancada brusca","Segurança viária",201
,"6025","Art. 206; Inc. IV","Executar operao de retorno nas intersees, entrando na contramo de direo da via transversal.","Segurança viária",197
,"6122","Art. 214; Inc. I","Deixar de dar preferência de passagem a pedestre e a veículo não motorizado na faixa a ele destinada","Ciclistas",186
,"5193","Art.168","Transportar crianças sem observância das normas de segurança especiais estabelecidas no CTB.","Segurança viária",179
,"6599","Art. 230; Inc. V","Conduzir o veículo que não esteja registrado.","Administrativas/documentais",175
,"5215","Art. 170","Dirigir ameaando os pedestres que estejam atravessando a via pblica.","Pedestres",173
