law_code,canonical_description,category,total_rows
"Art. 181, Inc. IX","Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada, destinada à entrada ou saída de veículos.",Estacionamento/uso da via,26087
"Art. 181, Inc. V","Estacionar o veiculo na pista de rolamento das estradas, das rodovias, das vias de trânsito rápido e das vias dotadas de acostamento.",Segurança viária,17
"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das estradas.,Segurança viária,38
"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das vias de trânsito rápido.,Segurança viária,107
"Art. 181, Inc. V",Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.,Segurança viária,62
"Art. 181, Inc. VI","Estacionar veículo junto ou sobre hidrantes de incêndio, registro de água ou tampas de poços de visita de galerias subterrâneas, desde que devidamente identificados, conforme especificação do CONTRAN.",Estacionamento/uso da via,267
"Art. 181, Inc. VII","Estacionar o veículo nos acostamentos, salvo motivo de força maior.",Estacionamento/uso da via,83
"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre canteiros centrais divisores de pista de rolamento.,Estacionamento/uso da via,8487
"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre gramados ou jardim público.,Estacionamento/uso da via,17399
"Art. 181, Inc. VIII",Estacionar o veículo ao lado ou sobre marcas de canalização.,Estacionamento/uso da via,28268
"Art. 181, Inc. VIII",Estacionar o veículo nas ilhas ou refúgios.,Estacionamento/uso da via,5832
"Art. 181, Inc. VIII","Estacionar o veículo no passeio ou sobre faixa destinada a pedestre, sobre ciclovia ou ciclofaixa, bem como nas ilhas, refúgios, ao lado ou sobre canteiros centrais, divisores de pista de rolamento, marcas de canalização, gramados ou jardim publico.",Pedestres,9864
"Art. 181, Inc. VIII",Estacionar o veículo no passeio.,Pedestres,284138
"Art. 181, Inc. VIII",Estacionar o veículo sobre ciclovia ou ciclofaixa.,Ciclistas,8605
"Art. 181, Inc. VIII",Estacionar o veículo sobre faixa destinada a pedestre.,Pedestres,13674
"Art. 181, Inc. X",Estacionar o veículo impedindo a movimentação de outro veículo.,Estacionamento/uso da via,32254
"Art. 181, Inc. XI",Estacionar o veículo ao lado de outro veículo em fila dupla.,Fluidez do trânsito,47121
"Art. 181, Inc. XII","Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres.",Fluidez do trânsito,873
"Art. 181, Inc. XIII","Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque e desembarque de passageiros de transporte coletivo ou, na inexistência desta sinalização, no intervalo compreendido entre dez metros antes e depois do marco do ponto.",Transporte coletivo,9694
"Art. 181, Inc. XIII",Estacionar veículo onde houver sinalização horizontal delimitadora de ponto de embarque ou desembarque de passageiros de transporte coletivo.,Transporte coletivo,5028
"Art. 181, Inc. XIV","Estacionar o veiculo nos viadutos, pontes e túneis.",Segurança viária,200
"Art. 181, Inc. XIV",Estacionar o veículo nas pontes.,Segurança viária,355
"Art. 181, Inc. XIV",Estacionar o veículo nos túneis.,Segurança viária,36
"Art. 181, Inc. XIV",Estacionar o veículo nos viadutos.,Segurança viária,139
"Art. 181, Inc. XIX",Estacionar o veículo em locais e horários de estacionamento e parada proibidos pela sinalização (placa - Proibido Parar e Estacionar).,Estacionamento/uso da via,79727
"Art. 181, Inc. XV",Estacionar o veículo na contramão de direção.,Estacionamento/uso da via,23540
"Art. 181, Inc. XVI","Estacionar o veículo em aclive ou declive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total superior a 3.500 kg.",Segurança viária,4
"Art. 181, Inc. XVI","Estacionar o veículo em aclive ou declive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total superior a três mil e quinhentos quilogramas.",Segurança viária,11
"Art. 181, Inc. XVII",Estacionar o veiculo em desacordo com as condições regulamentadas especificamente pela sinalização (placa - Estacionamento Regulamentado),Estacionamento/uso da via,117042
"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com a regulamentação - Vaga de curta duração.,Estacionamento/uso da via,4
"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas - vaga idoso.,Estacionamento/uso da via,27165
"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas - vaga portador de necessidades especiais.,Estacionamento/uso da via,14943
"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: estacionamento rotativo.,Estacionamento/uso da via,683939
"Art. 181, Inc. XVII",Estacionar o veículo em desacordo com as condições regulamentadas pela sinalização: vaga de carga e descarga.,Estacionamento/uso da via,68414
"Art. 181, Inc. XVIII",Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (Placa - Proibido Estacionar).,Estacionamento/uso da via,799174
"Art. 181, inc. XX","Estacionar o veículo nas vagas reservadas às pessoas com deficiência, sem credencial que comprove tal condição.",Pedestres,8380
"Art. 182, Inc. I",Parar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.,Estacionamento/uso da via,737
"Art. 182, Inc. II",Parar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.,Estacionamento/uso da via,336
"Art. 182, Inc. III",Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.,Estacionamento/uso da via,3443
"Art. 182, Inc. IV",Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.,Estacionamento/uso da via,416
"Art. 182, Inc. IX",Parar o veículo na contramão de direção.,Estacionamento/uso da via,297
"Art. 182, Inc. V","Parar o veiculo na pista de rolamento das estradas, das rodovias, das vias de trânsito rápido e das demais vias dotadas de acostamento.",Segurança viária,151
"Art. 182, Inc. V",Parar o veículo na pista de rolamento das demais vias dotadas de acostamento.,Segurança viária,78
"Art. 182, Inc. V",Parar o veículo na pista de rolamento das estradas.,Segurança viária,53
"Art. 182, Inc. V",Parar o veículo na pista de rolamento das vias de trânsito rápido.,Segurança viária,208
"Art. 182, Inc. VI",Parar o veículo nas ilhas ou refúgios.,Pedestres,180
"Art. 182, Inc. VI",Parar o veículo nas marcas de canalização.,Pedestres,1055
"Art. 182, Inc. VI","Parar o veículo no passeio ou sobre faixa destinada a pedestres, nas ilhas, refúgios, canteiros centrais e divisores de pista de rolamento e marcas de canalização.",Pedestres,207
"Art. 182, Inc. VI",Parar o veículo no passeio.,Pedestres,6437
"Art. 182, Inc. VI",Parar o veículo nos canteiros centrais e divisores de pista de rolamento.,Pedestres,718
"Art. 182, Inc. VI",Parar o veículo sobre faixa destinada a pedestres.,Pedestres,9911
"Art. 182, Inc. VII","Parar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres.",Fluidez do trânsito,27608
"Art. 182, Inc. VIII",Parar o veículo nas pontes.,Segurança viária,44
"Art. 182, Inc. VIII",Parar o veículo nos túneis.,Segurança viária,1
"Art. 182, Inc. VIII","Parar o veículo nos viadutos, pontes e túneis.",Segurança viária,4
"Art. 182, Inc. VIII",Parar o veículo nos viadutos.,Segurança viária,18
"Art. 182, Inc. X",Parar o veículo em local e horário proibidos especificamente pela sinalização (placa - Proibido Parar).,Estacionamento/uso da via,6612
"Art. 182, XI",Parar o veículo sobre ciclovia ou ciclofaixa.,Ciclistas,1362
Art. 183,Parar o veículo sobre a faixa de pedestres na mudança de sinal luminoso. (fiscalização eletrônica).,Pedestres,65103
"Art. 184, Inc. I","Transitar com o veículo na faixa ou pista da direita regulamentada como de circulação exclusiva para determinado tipo de veículo, exceto para acesso a imóveis lindeiros ou conversões à direita.",Fluidez do trânsito,1394
"Art. 184, Inc. I","Transitar com o veículo na faixa ou pista da direita, regulamentada como de circulação exclusiva para determinado tipo de veículo.",Fluidez do trânsito,6853
"Art. 184, Inc. II",Transitar com o veículo na faixa ou pista da esquerda regulamentada como de circulação exclusiva para determinado tipo de veículo.,Fluidez do trânsito,18305
"Art. 184, Inc. III",Transitar na faixa ou via exclusiva regulam.  p/  transp.  públ.  coletivo passag.,Transporte coletivo,320988
"Art. 185, Inc. I","Deixar de conservar o veículo na faixa a ele destinada pela sinalização de regulamentação, exceto em situações de emergências.",Fluidez do trânsito,8134
"Art. 185, Inc. II","Deixar de conservar nas faixas da à direita, o veículo lento e de maior porte.",Fluidez do trânsito,35
"Art. 186, Inc. I",Transitar pela contramão de direção em vias com duplo sentido de circulação.,Segurança viária,15533
"Art. 186, Inc. II",Transitar pela contramão de direção em vias com sinalização de regulamentação de sentido único.,Segurança viária,47377
"Art. 187, Inc. I",Transitar em locais e horários não permitidos pela regulamentação - Caminhão.,Fluidez do trânsito,7987
"Art. 187, Inc. I","Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente, para todos os tipos de veículos.",Fluidez do trânsito,5864
"Art. 187, Inc. I",Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade.,Fluidez do trânsito,274867
Art. 188,"Transitar ao lado de outro veículo, interrompendo ou perturbando o trânsito.",Fluidez do trânsito,77
Art. 189,"Deixar de dar passagem aos veículos de operação e fiscalização de trânsito devidamente identificados, quando em serviço de urgência.",Segurança viária,117
Art. 189,Deixar de dar passagem aos veículos de polícia em serviço de urgência e devidamente identificados.,Segurança viária,62
Art. 189,Deixar de dar passagem aos veículos de socorro de incêndio e salvamento em serviço de urgência e devidamente identificados.,Segurança viária,134
Art. 189,Deixar de dar passagem aos veículos precedidos de batedores devidamente identificados.,Segurança viária,46
Art. 189,"Deixar de dar passagem as ambulâncias, em serviço de urgência e devidamente identificados.",Segurança viária,764
Art. 190,"Seguir o veiculo em servico de urgência, estando este com prioridade de passagem devidamente identificada por dispositivos regulamentares de alarme sonoro e iluminação vermelha intermitentes.",Segurança viária,112
