type,geometry.type,geometry.coordinates,properties.id,properties.status_type,properties.status_value,properties.length,properties.city_id,properties.osm_id,properties.name,properties.pdc_typology,properties.cycleway_typology
Feature,LineString,"-34.89827,-7.77383,-34.89798,-7.77377,-34.89787,-7.77375",45,pdc_nao_realizado,0.04475945191103556,0.04475945191103556,2607752,way/742681480,Rua Frei Serafim,Ciclovia,none
Feature,LineString,"-34.89156,-7.77395,-34.89127,-7.77408,-34.89115,-7.7741",46,pdc_nao_realizado,0.048282382208645745,0.048282382208645745,2607752,way/742697297,Avenida João Pessoa,Ciclovia,none
Feature,LineString,"-34.89462,-7.77336,-34.89399,-7.77338,-34.89356,-7.7734",47,pdc_nao_realizado,0.1171971273537308,0.1171971273537308,2607752,way/742702364,Avenida João Pessoa,Ciclovia,none
Feature,LineString,"-34.90948,-7.806,-34.9095,-7.80573,-34.9095,-7.80534,-34.90941,-7.8043,-34.90935,-7.80397,-34.90921,-7.80362,-34.90844,-7.80162,-34.90734,-7.79874,-34.90713,-7.7982,-34.90708,-7.79811,-34.90681,-7.79738,-34.90658,-7.79679,-34.90652,-7.79661,-34.90648,-7.79651,-34.90642,-7.79624,-34.90638,-7.79597,-34.90637,-7.79562,-34.90635,-7.7947,-34.90633,-7.79414,-34.90631,-7.79301,-34.90629,-7.79246,-34.90628,-7.79191,-34.90627,-7.79162,-34.90626,-7.79104,-34.90628,-7.79069,-34.90634,-7.79014,-34.90637,-7.78996,-34.9064,-7.78955,-34.90641,-7.78925,-34.90638,-7.78856,-34.90634,-7.78772,-34.9063,-7.78751",48,pdc_nao_realizado,2.1182548436072293,2.1182548436072293,2607752,way/743244396,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-35.02767,-8.27533,-35.02773,-8.2754,-35.0281,-8.27576,-35.02844,-8.27614,-35.02857,-8.27626,-35.0287,-8.27638,-35.02889,-8.27658,-35.02913,-8.27683,-35.0293,-8.27702,-35.02947,-8.2772,-35.02966,-8.2774",49,pdc_nao_realizado,0.15910670367826624,0.15910670367826624,2602902,way/791161156,,Ciclovia,none
Feature,LineString,"-34.91011,-7.82559,-34.91027,-7.82494,-34.9104,-7.82429,-34.91043,-7.82419,-34.91123,-7.82065,-34.91126,-7.8205",50,pdc_nao_realizado,0.5799414432241757,0.5799414432241757,2606804,way/858242726,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.91011,-7.82559,-34.9101,-7.82572,-34.9099,-7.82659",51,pdc_nao_realizado,0.1133639618527581,0.1133639618527581,2606804,way/908946590,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.90987,-7.82653,-34.91005,-7.82571,-34.91011,-7.82559",52,pdc_nao_realizado,0.10769318627110874,0.10769318627110874,2606804,way/933046312,,Ciclovia,none
Feature,LineString,"-34.91126,-7.8205,-34.9113,-7.82029,-34.91132,-7.8201,-34.91133,-7.81981,-34.91132,-7.81964",53,pdc_nao_realizado,0.09639407607377909,0.09639407607377909,2606804,way/1022851414,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.91132,-7.81964,-34.91132,-7.81936",54,pdc_nao_realizado,0.03169393140644177,0.03169393140644177,2606804,way/1022851415,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.90679,-7.94827,-34.90698,-7.94851,-34.90727,-7.9488,-34.90734,-7.94888,-34.9075,-7.94907,-34.90766,-7.94929,-34.90783,-7.94953,-34.90804,-7.94988,-34.90827,-7.95025,-34.90849,-7.95059",55,pdc_nao_realizado,0.1596176084134458,0.1596176084134458,2610707,way/29464277,,Ciclovia,none
Feature,LineString,"-34.94288,-8.11952,-34.943,-8.11908",56,pdc_nao_realizado,0.025064205273972927,0.025064205273972927,2611606,way/30811035,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94349,-8.06574,-34.94359,-8.06535,-34.94393,-8.06382,-34.94419,-8.06306",57,pdc_nao_realizado,0.15409667117425255,0.15409667117425255,2611606,way/30811095,Rodovia Governador Mário Covas,Ciclovia,none
Feature,LineString,"-34.94239,-8.04018,-34.94269,-8.04095",58,pdc_nao_realizado,0.046055732203620234,0.046055732203620234,2611606,way/30811108,Rodovia Governador Mário Covas,Ciclovia,none
