street_code,street_name,total_violations,extension_km,violations_per_km,by_year.2007,by_year.2008,by_year.2009,by_year.2010,by_year.2011,by_year.2012,by_year.2013,by_year.2014,by_year.2015,by_year.2016,by_year.2017,by_year.2018,by_year.2019,by_year.2020,by_year.2021,by_year.2022,by_year.2023,by_year.2024,by_year.2025,top_violation.description,top_violation.percentage
59595,Avenida Rui Barbosa,134575,2.42,55515.01,757,799,1087,463,1216,1153,23112,15066,13572,10898,3927,17522,11842,9580,8845,8163,4018,1589,966,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",71.15
56839,Rua Real da Torre,129401,2.32,55786.22,388,758,459,445,484,1043,1653,1506,5782,20961,29167,15253,6487,2715,9938,5432,7795,9241,9894,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",62.3
66923,Praça Ministro Salgado Filho,127772,0.47,274242.45,869,3153,2421,5598,7051,17952,14298,12861,6988,1367,3492,2785,10006,6006,7128,5626,7068,10961,2142,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,49.17
5770,Avenida  Antônio de Goes,124643,2.13,58530.51,303,323,247,346,333,401,9054,15400,12904,6987,4087,19268,15798,11563,10129,9300,6002,1058,1140,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",61.62
35807,Avenida Engenheiro José Estelita,121168,3.98,30415.18,68,51,34,41,71,9961,26110,26060,8060,5260,3315,14807,5238,2533,4986,6759,4433,1656,1725,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",79.27
10529,Avenida Beberibe,117330,7.31,16051.21,693,587,618,1130,1371,760,3279,2548,3276,3368,3472,22846,25020,16341,14777,5446,4869,4326,2603,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",56.66
68012,Avenida Dom João VI,112473,2.57,43823.53,26,25,33,59,164,116,86,146,1984,1763,2016,16756,22203,30096,16323,6641,5133,6781,2122,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",85.26
32972,Rua Visconde de Jequitinhonha,104179,9.2,11328.63,577,730,1178,689,581,2066,4245,4361,3016,1307,2928,15004,9030,9644,10582,15589,12575,6696,3381,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",54.69
28932,Avenida Herculano Bandeira,102690,1.15,89225.65,3935,5371,6947,7210,6104,1940,3123,2285,8197,7373,10758,7275,6967,4929,5033,5707,6073,2860,603,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,49.43
19054,Avenida Dantas Barreto,102020,3.81,26786.19,1715,1738,2643,2447,3489,3903,3989,5305,7970,8113,9283,11145,12160,7293,6420,4489,5139,3512,1267,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,34.65
