id,name,capacity,covered,access,operator,bicycle_parking
355,,6,,yes,PUCG-UFF,informal
356,,50,yes,permit,Correios,stands
357,,12,,yes,PMCG,surface
358,,,,private,,
359,,,,private,,
360,,10,,,,stands
361,,15,,,,
362,,,,customers,,shed
363,,,no,private,Condomínio Completo Piedade,anchors
364,,,,,,
365,,,,,,
366,,,,,,
367,,27,no,yes,,stands
368,,,no,yes,,
369,Extra,,no,,,
370,,,,,,
371,Shopping Riomar,,,,,
372,,,,,,
373,,,no,,,
374,,,,,,
375,Bicicletário Aeroporo de Guarulhos,234,yes,yes,GRU Airport,wall_loops
376,Bicicletário Terminal de Cargas - Aeroporto,202,yes,yes,GRU Airport,
377,,10,,private,,stands
378,,8,no,,,wall_loops
379,,,no,yes,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,11,,yes,,wall_loops
384,,10,,yes,,wall_loops
385,,,no,yes,,
386,,,,,,
387,,4,no,,,stands
388,,20,,,,
389,,20,no,yes,,wall_loops
390,,10,no,yes,,wall_loops
391,,,,,,
392,,,,,,
393,bicicletário da CHESF,30,no,permissive,,
394,,,,,,
395,,,,,,building
396,,,,,Koch,wall_loops
397,,,,,,
398,,,,,,
399,Estacionamento Teatro Municipal,,,,,
400,,,yes,permissive,,shed
401,,13,no,,,wall_loops
402,,,yes,,,wall_loops
403,,,,,,wall_loops
404,,6,no,yes,,shed
405,,0,,,,
406,,,yes,customers,,shed
407,,,yes,,,wall_loops
408,Paragem Espaço Cerâmica,12,no,yes,,stands
410,,,,,,
411,,5,,,,
412,,,,,,
413,,,,,,
414,,,,yes,,
415,,,,,SOCICAM,shed
416,,,,,,
417,,,,,,
418,Bicicletário de Visitantes,10,no,yes,IFMG Campus Betim,stands
419,Bicicletário Superior,10,no,yes,IFMG Campus Betim,stands
420,Bicicletario,,,,,
421,,,,,,
422,,,,,,
423,,,,,,shed
424,,22,yes,customers,,wall_loops
425,,,,,,
426,,,yes,,Bosch Rexroth,shed
427,,16,no,yes,SMTT,
428,,,yes,yes,,shed
429,,20,no,private,,stands
430,,10,no,yes,,wall_loops
431,,,,,,
432,,30,,,,
433,,8,no,,,stands
434,,4,,,,
435,,8,no,,,stands
436,,8,no,,,stands
437,,3,no,,,bollard
438,,4,no,,,stands
439,,3,no,,,wall_loops
440,,8,no,,,stands
441,,8,no,,,stands
442,,8,no,,,stands
443,,13,,,,
444,,6,,,,
445,,3,,,,
446,,6,,,,
447,,8,,,,
448,,3,,,,
449,,3,,,,
450,,3,,,,
451,,3,,,,
452,,,,yes,,lockers
453,,,no,yes,Ternium,
454,,,,,,building
455,Bicicletário 99,,yes,yes,,building
456,,,no,yes,,wall_loops
457,,26,no,customers,,stands
458,,14,yes,yes,,wall_loops
459,,,,,,
460,,,no,,,safe_loops
461,,,,,,
462,,7,no,,,wall_loops
463,,,no,,,
464,,,,,,
465,,,,,,shed
466,,,no,yes,,stands
523,,,,,,ground_slots
467,Bicicletário Terminal Pingo d'Água,600,yes,,,building
468,,250,yes,,,building
469,Bicicletário Terminal Mato Alto - Norte,250,yes,yes,,building
470,Bicicletário Terminal Mato Alto - Sul,250,yes,yes,,building
471,,,,,,
472,,,,,,
473,,,,,,
474,Pedal Vitta,9,yes,,,stands
475,,15,yes,private,Grupo JAL,shed
476,,,no,,,stands
477,,,,,,
478,,,yes,yes,Supermercado Beira Rio,ground_slots
479,,,no,,,
480,,,,,,building
481,,,,yes,GV Shoppimg,
482,Bike Hotel,,,customers,,
483,,,,,,
484,,,,,,
485,,,,,FACENS,wall_loops
486,,10,,,,
487,,100,no,private,My Style Jacarépaguá,stands
488,,100,no,private,My Style Jacarépaguá,stands
489,,10,no,private,My Style Jacarépaguá,stands
490,,100,no,private,My Style Jacarépaguá,stands
491,,100,no,private,My Style Jacarépaguá,stands
492,,10,no,yes,,stands
493,,24,no,yes,,stands
494,,15,yes,permissive,Shopping Barra,stands
495,,10,no,,,stands
496,,2,,,,wall_loops
497,,1,no,,,stands
498,,10,no,,,stands
499,,1,no,,,stands
500,,6,no,,,rack
501,,20,yes,,,
502,,8,no,,,
503,,70,,,,stands
504,,20,no,yes,Casa de Cultura Laura Alvim,stands
505,,9,no,,,
506,,30,no,,,
507,,8,no,,,
508,,20,no,,,
509,,9,no,,,
510,,7,no,,,
511,,36,no,,,
512,,3,no,,,
513,bicicletário do banco santander,,,,,
514,,,,,,
515,,20,no,,,
516,Todo Dia,5,,,,
517,,30,no,,,
518,,7,no,,,
519,,10,no,,,stands
520,,10,,,,
521,,6,yes,,,
522,,12,no,,,
524,,4,no,,,
525,,,no,,,wall_loops
526,,10,no,,,
527,,12,no,,,
528,Madereira Cerqueira,,,,,ground_slots
529,,,no,yes,,stands
530,,8,yes,yes,,wall_loops
531,,,yes,yes,,stands
532,,6,no,yes,,wall_hoops
533,Academia Maciste,,no,,,
534,,13,no,,,wave
535,,5,yes,destination,Metrô Rio,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,no,yes,,wall_loops
540,MetrôRio Estação Pavuna,80,yes,,MetrôRio,rack
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,yes,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,Bicicletário CPTM,,yes,,,
568,,,,,,
569,,10,,,,stands
570,,,yes,,,
571,,,,,,
572,,,no,,,stands
573,,,no,,,
574,,5,no,,,wall_loops
575,,,,,,
576,,23,no,,,
577,,22,no,,,
578,,6,no,,,
579,,5,,,,
580,Secretaria de Transportes,,yes,,,
581,,16,,,,pórtico
582,Tribunal de Justiça,25,,,,wall_hoops
583,Atacadão,10,no,,,wall_loops
584,Leroy Merlin,8,yes,,,stands
585,,6,no,,,stands
586,,5,no,,,stands
587,,25,no,,Parque Lage,wall_loops
588,,10,no,,Cobal do Humaitá,wall_hoops
589,Adega do Cesare,20,no,,,stands
590,,7,yes,,,stands
591,,10,,,,stands
592,,12,,,,pórtico
593,,25,no,,Universidade Veiga de Almeida,wall_hoops
594,,25,,,,stands
595,,4,no,,,wall_hoops
596,,4,no,,,wall_hoops
597,,4,no,,,wall_hoops
598,,30,no,,Governo do Estado,
599,,10,no,,Mundial,wall_hoops
600,,10,no,,Guanabara,wall_hoops
601,,5,no,,,stands
602,,10,,,,
603,,37,no,,,
604,,24,no,,Shopping Nova América,
605,,40,yes,,Shopping Via Brasil,wall_hoops
606,,,,,,
607,,20,no,,Lagoon,
608,,3,no,,,wall_hoops
609,,10,no,,,wall_hoops
610,,6,no,,,stands
611,,6,no,,,stands
612,,10,no,,,stands
613,,30,yes,,,stands
614,,6,yes,,Supermercado Mundial,
615,,3,no,,,stands
616,,,yes,,Supermercado Prezunic,
617,,8,no,,,stands
618,,3,no,,,wall_hoops
619,,4,no,,,stands
620,,10,no,,Centro Comercial Copacabana,wall_hoops
621,,10,no,,Clube de Regatas Botafogo,wall_hoops
622,Loteria,,no,,,stands
623,Banco do Brasil,10,no,,,stands
624,,10,no,,,wall_hoops
625,,6,no,,,wall_hoops
626,,28,yes,,Centro Empresarial Mourisco,anchors
627,,2,no,,,stands
628,,4,no,,,stands
629,,,,,,
630,,5,no,,,stands
631,,3,no,,,stands
632,,3,no,,,stands
633,,3,no,,,stands
634,,5,no,,,stands
635,,5,no,,,stands
636,,3,no,,,stands
637,,3,no,,,stands
638,,3,no,,,stands
639,,3,no,,,stands
640,,5,no,,,stands
641,,3,no,,,stands
642,,5,no,,,stands
643,,5,no,,,stands
644,,3,no,,,stands
645,,3,no,,,stands
646,,3,no,,,stands
647,,5,no,,,stands
648,,3,no,,,stands
649,,5,no,,,stands
650,,3,no,,,stands
651,,5,no,,,stands
652,,5,no,,,stands
653,,3,no,,,stands
654,,3,no,,,stands
655,,3,no,,,stands
656,,3,no,,,stands
657,,3,no,,,stands
658,,10,no,,,stands
659,,5,no,,,stands
660,,3,no,,,stands
661,,5,no,,,stands
662,,3,no,,,stands
663,,3,no,,,stands
664,,3,no,,,stands
665,,3,no,,,stands
666,,3,no,,,stands
667,,3,no,,,stands
668,,3,no,,,stands
669,,5,no,,,stands
670,,3,no,,,stands
671,,3,no,,,stands
672,,3,no,,,stands
673,,5,no,,,stands
674,,5,no,,,stands
675,,3,no,,,stands
676,,3,no,,,stands
677,,5,no,,,stands
678,,3,no,,,stands
679,,6,no,,,wall_hoops
680,,6,no,,,wall_hoops
681,,28,no,,,wall_hoops
682,,14,no,,,
683,,14,no,,,
684,,,,,,
685,,15,yes,,Carioca Shopping,
686,,12,yes,,São Conrado Fashion Mall,stands
687,,5,no,,,wall_hoops
688,,,,,,wall_loops
689,,5,,,,
690,,6,no,,,
691,,5,,,,
692,,10,,,,
693,,13,,,,
694,,5,,,,
695,,5,no,,,
696,,12,no,,Prefeitura do Rio de Janeiro,
697,,,yes,,,
698,,6,no,,,
699,,6,no,,,
700,,26,no,,,
701,,5,no,,,
702,,6,no,,,
703,,10,no,,,
704,,10,no,,,
705,,4,no,,,
706,,,,,,
707,,,,,,
708,,,,,,
709,,,no,,,
710,,4,no,customers,Copacabana Center,stands
711,,,,,,
712,,16,yes,,,
713,,5,no,,,wall_hoops
714,,10,no,,Intercontinental,wall_hoops
715,,700,yes,,,
716,,20,no,,Helisul,
717,,11,no,,,
718,,6,no,,,
719,,12,no,,,
720,,5,no,,,
721,,30,no,,,stands
722,,6,no,,,
723,,5,no,,,
724,,5,no,,,
725,,5,no,,,
726,,3,no,,,
727,,10,no,,,
728,,5,no,,,
729,,10,no,,Banco do Brasil,stands
730,,,,,,
731,,15,no,,,rack
732,,12,no,,,
733,,10,no,,Centro de Convenções SulAmérica,wall_hoops
734,Bicicletário CCAA,5,yes,,,
735,,100,no,,PUC-Rio,
736,,10,yes,,,
737,,3,no,,,
738,,4 vagas,no,,,stands
739,Museu Nacional de Brasília,,no,,,
740,,10,no,,,stands
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,8,no,,,stands
748,,,,,,
749,,,,,,
750,,,no,,,stands
751,,,,,,
752,,12,no,,,wall_hoops
753,,,no,,Prezunic,wall_hoops
754,,11,no,,,stands
755,,4,no,,,wall_hoops
756,,6,no,,,
757,,,no,,,
758,,,no,,,
759,,5,no,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,5,no,,,wall_loops
764,,5,no,,,wall_loops
765,,,,,,
766,,,,,,
767,,,,,,
768,,4,no,,,stands
769,,6,no,,,stands
770,,2,no,,,stands
771,,6,no,,,stands
772,,5,no,,,stands
773,,2,no,,,stands
774,,5,no,,,stands
775,,6,no,,,stands
776,,6,no,,,stands
777,,6,no,,,stands
778,,6,no,,,stands
779,,5,no,,,stands
780,,6,no,,,stands
781,,6,no,,,stands
782,,,,,,
783,,,,,,
784,,,,,,
785,,,,,,
786,,8,,,,stands
787,,12,no,,Leroy Merlin,wall_hoops
788,,2,no,,,stands
789,,6,no,,,stands
790,,,no,,,
791,,,,,,
792,,6,no,,,ground_slots
793,,5,,,,wall_loops
794,,6,no,,,stands
795,,100,no,,,stands
796,,4,,,,
797,,5,yes,,,wall_hoops
798,,8,no,,,stands
799,,12,no,,,
800,,12,no,,,stands
801,,,,yes,,
802,,10,no,,Academia Zanco,wall_hoops
803,,5,no,,Espaço de Desenvolvimento Infantil Deputado Pedro Fernandes,stands
804,,4,no,,,wall_hoops
805,,6,no,,,stands
806,,7,no,,Academia Physical,
807,,7,no,,Hortifruti,wall_hoops
808,,128,no,,,stands
809,,153,no,,,stands
810,,8,no,,,wall_hoops
811,,10,no,,,stands
812,,36,no,,,stands
813,,16,no,,,stands
814,,18,no,,,wall_hoops
815,,18,yes,,,wall_hoops
816,,10,yes,no,,wall_hoops
817,,5,no,,Academia DNA,wall_hoops
818,,10,no,,,stands
819,,4,no,,,wall_hoops
820,,10,no,,,building
821,,12,no,,,stands
822,,13,yes,,Leroy Merlin,wall_hoops
823,,24,yes,,ACM,anchors
824,,15,no,,Petrobras,wall_hoops
825,,6,no,,,stands
826,,6,no,,,stands
827,,8,no,,,stands
828,,6,no,,,stands
829,,10,no,,,stands
830,,10,no,,,stands
831,,10,no,,,stands
832,,6,no,,,stands
833,,6,no,,,stands
834,,6,no,,,wall_hoops
835,,5,no,,,wall_hoops
836,,8,yes,customers,PUCRS,wall_loops
837,,8,no,yes,PMPA,stands
838,,12,no,,,stands
839,,90,no,,,stands
840,,16,,,,
841,,24,no,,,stands
842,,25,no,,,stands
843,,6,no,,,stands
844,,3,,,,stands
845,,,,,,
846,,50,no,,,stands
847,,10,no,,,stands
848,,5,no,,,stands
849,,10,no,,,stands
850,,4,no,yes,,rack
851,,15,no,customers,Justiça do Trabalho,wall_loops
852,,7,no,,,
853,,36,,,,stands
854,,8,no,,,stands
855,,8,no,,,stands
856,,8,no,,,stands
857,,8,no,,,stands
858,,8,no,,,stands
859,,8,no,,,stands
860,,7,no,,,wall_loops
861,,8,no,,,stands
862,,5,no,,,stands
863,,18,no,,,rack
864,,5,no,,,rack
865,,5,no,,,rack
866,,36,no,,,rack
867,,18,no,,,
868,,12,no,,,stands
869,,5,no,,,
870,,6,no,,,rack
871,,5,no,,,wall_loops
872,,16,yes,,MetrôRio,
873,,10,yes,,,
874,,5,yes,customers,Mercado Público,wall_loops
875,,5,yes,customers,Mercado Público,wall_loops
876,,5,yes,customers,Mercado Público,wall_loops
877,,5,yes,customers,Mercado Público,wall_loops
878,,,,,,
879,,,,,,
880,,20,yes,,,stands
881,,10,no,,,stands
882,,16,no,,,stands
883,,14,no,,,stands
884,,26,no,,,stands
885,,9,,customers,,
886,,10,no,,,rack
887,,4,no,,,stands
888,,4,no,,,stands
889,,8,no,,,stands
890,,4,,,,stands
891,,12,,,,pórtico
892,,12,,,,pórtico
893,,5,no,,Academia Workout,wall_loops
894,,12,no,,Farma Hall,rack
895,,2,no,,,stands
896,,2,no,,,stands
897,,18,no,,Bar Lagoa,stands
