tema,servico,endpoint,parametros,arquivo,formato,numero_registros,status,observacao
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=LAGOA DO CARRO,chamados_emergencia/outcomes_LAGOA_DO_CARRO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=LAGOA DO CARRO,chamados_emergencia/profiles_LAGOA_DO_CARRO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=LAGOA DO ITAENGA,chamados_emergencia/outcomes_LAGOA_DO_ITAENGA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=LAGOA DO ITAENGA,chamados_emergencia/profiles_LAGOA_DO_ITAENGA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=GAMELEIRA,chamados_emergencia/outcomes_GAMELEIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=GAMELEIRA,chamados_emergencia/profiles_GAMELEIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CASINHAS,chamados_emergencia/outcomes_CASINHAS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CASINHAS,chamados_emergencia/profiles_CASINHAS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=PRIMAVERA,chamados_emergencia/outcomes_PRIMAVERA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=PRIMAVERA,chamados_emergencia/profiles_PRIMAVERA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CATENDE,chamados_emergencia/outcomes_CATENDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CATENDE,chamados_emergencia/profiles_CATENDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=JOAO ALFREDO,chamados_emergencia/outcomes_JOAO_ALFREDO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=JOAO ALFREDO,chamados_emergencia/profiles_JOAO_ALFREDO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SAO VICENTE FERRER,chamados_emergencia/outcomes_SAO_VICENTE_FERRER.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SAO VICENTE FERRER,chamados_emergencia/profiles_SAO_VICENTE_FERRER.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=LAGOA DOS GATOS,chamados_emergencia/outcomes_LAGOA_DOS_GATOS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=LAGOA DOS GATOS,chamados_emergencia/profiles_LAGOA_DOS_GATOS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=XEXEU,chamados_emergencia/outcomes_XEXEU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=XEXEU,chamados_emergencia/profiles_XEXEU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=BUENOS AIRES,chamados_emergencia/outcomes_BUENOS_AIRES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=BUENOS AIRES,chamados_emergencia/profiles_BUENOS_AIRES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=BELEM DE MARIA,chamados_emergencia/outcomes_BELEM_DE_MARIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=BELEM DE MARIA,chamados_emergencia/profiles_BELEM_DE_MARIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=JAQUEIRA,chamados_emergencia/outcomes_JAQUEIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=JAQUEIRA,chamados_emergencia/profiles_JAQUEIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CORTES,chamados_emergencia/outcomes_CORTES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CORTES,chamados_emergencia/profiles_CORTES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=TRACUNHAEM,chamados_emergencia/outcomes_TRACUNHAEM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=TRACUNHAEM,chamados_emergencia/profiles_TRACUNHAEM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=QUIPAPA,chamados_emergencia/outcomes_QUIPAPA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=QUIPAPA,chamados_emergencia/profiles_QUIPAPA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CUMARU,chamados_emergencia/outcomes_CUMARU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CUMARU,chamados_emergencia/profiles_CUMARU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=FERNANDO DE NORONHA,chamados_emergencia/outcomes_FERNANDO_DE_NORONHA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=FERNANDO DE NORONHA,chamados_emergencia/profiles_FERNANDO_DE_NORONHA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CAMUTANGA,chamados_emergencia/outcomes_CAMUTANGA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CAMUTANGA,chamados_emergencia/profiles_CAMUTANGA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SAO BENEDITO DO SUL,chamados_emergencia/outcomes_SAO_BENEDITO_DO_SUL.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SAO BENEDITO DO SUL,chamados_emergencia/profiles_SAO_BENEDITO_DO_SUL.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=JOAQUIM NABUCO,chamados_emergencia/outcomes_JOAQUIM_NABUCO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=JOAQUIM NABUCO,chamados_emergencia/profiles_JOAQUIM_NABUCO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ITAQUITINGA,chamados_emergencia/outcomes_ITAQUITINGA.json,JSON,1,completo,
