_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
170	8	FC004REC	1	2025-08-02T00:00:00	18	46-59	2	14	43	14	4	1	0	0	0	0	0
171	8	FC004REC	1	2025-08-02T00:00:00	19	0-15	0	13	38	28	3	2	0	0	0	0	0
172	8	FC004REC	1	2025-08-02T00:00:00	19	16-30	2	17	21	18	3	0	0	0	0	0	0
173	8	FC004REC	1	2025-08-02T00:00:00	19	31-45	1	25	30	16	3	0	0	0	0	0	0
174	8	FC004REC	1	2025-08-02T00:00:00	19	46-59	0	21	39	9	3	0	0	0	0	0	0
175	8	FC004REC	1	2025-08-02T00:00:00	20	0-15	0	16	23	30	6	0	0	0	0	0	0
176	8	FC004REC	1	2025-08-02T00:00:00	20	16-30	1	12	18	26	6	1	0	0	0	0	0
177	8	FC004REC	1	2025-08-02T00:00:00	20	31-45	4	5	10	32	2	2	0	0	0	0	0
178	8	FC004REC	1	2025-08-02T00:00:00	20	46-59	2	11	16	21	2	0	0	0	0	0	0
179	8	FC004REC	1	2025-08-02T00:00:00	21	0-15	1	10	17	24	10	1	0	0	0	0	0
180	8	FC004REC	1	2025-08-02T00:00:00	21	16-30	3	10	15	23	4	1	0	0	0	0	0
181	8	FC004REC	1	2025-08-02T00:00:00	21	31-45	1	8	9	20	10	1	0	0	0	0	0
182	8	FC004REC	1	2025-08-02T00:00:00	21	46-59	2	7	13	20	1	1	0	0	0	0	0
183	8	FC004REC	1	2025-08-02T00:00:00	22	0-15	2	10	16	18	3	1	0	0	0	0	0
184	8	FC004REC	1	2025-08-02T00:00:00	22	16-30	2	10	10	23	6	2	0	0	0	0	0
185	8	FC004REC	1	2025-08-02T00:00:00	22	31-45	3	11	7	16	6	0	0	0	0	0	0
186	8	FC004REC	1	2025-08-02T00:00:00	22	46-59	1	5	18	14	5	1	0	0	0	0	0
187	8	FC004REC	1	2025-08-02T00:00:00	23	0-15	2	11	16	11	4	0	0	0	0	0	0
188	8	FC004REC	1	2025-08-02T00:00:00	23	16-30	1	7	12	16	2	0	0	0	0	0	0
189	8	FC004REC	1	2025-08-02T00:00:00	23	31-45	0	4	8	11	3	0	0	0	0	0	0
190	8	FC004REC	1	2025-08-02T00:00:00	23	46-59	2	4	3	4	1	2	0	0	0	0	0
191	8	FC004REC	1	2025-08-03T00:00:00	0	0-15	0	1	2	2	1	1	0	0	0	0	0
192	8	FC004REC	1	2025-08-03T00:00:00	0	16-30	0	2	0	4	4	0	0	0	0	0	0
193	8	FC004REC	1	2025-08-03T00:00:00	0	31-45	0	1	1	1	3	0	0	0	0	0	0
194	8	FC004REC	1	2025-08-03T00:00:00	0	46-59	0	1	1	3	1	1	0	0	0	0	0
195	8	FC004REC	1	2025-08-03T00:00:00	1	0-15	0	1	2	2	0	0	0	0	0	0	0
196	8	FC004REC	1	2025-08-03T00:00:00	1	16-30	0	1	0	1	1	1	0	0	0	0	0
197	8	FC004REC	1	2025-08-03T00:00:00	1	31-45	0	1	0	0	0	0	0	0	0	0	0
