id,code,name_concatenated,official_name,short_name,pavement_code,pavement_description
8879,79391,TRV EDUARDO CUSTODIO,Travessa Eduardo Custodio,Trv Eduardo Custodio,X,Não definida
330,126152,TRV GOVERNADOR EDUARDO HENRIQUE DE ACIOLY CAMPOS,Travessa Eduardo Henrique de Acioly Campos,Tr Eduardo Henrique de Acioly Campos,N,Via Não Pavimentada
6837,57860,TRV ELIEZER OLIMPIO DE MOURA,Travessa Eliezer Olimpio de Moura,Trv Eliezer Olimpio de Moura,N,Via Não Pavimentada
11732,125792,TRV ELIS REGINA,Travessa Elis Regina,Tr. Elis Regina,X,Não definida
11395,118893,TRV EMETERIO MACIEL,Travessa Emeterio Maciel,Trv Emeterio Maciel,N,Via Não Pavimentada
11147,115770,TRV EMILIO MONTEIRO FONSECA,Travessa Emilio Monteiro Fonseca,Trv Emilio Monteiro Fonseca,P,Via Parcialmente Pavimentada
8655,76562,TRV ENCANTA MOCA,Travessa Encanta Moça,Trv Encanta Moça,S,Via Pavimentada
10847,111740,TRV ENGENHEIRO CELIO DE CARLI,Travessa Engenheiro Célio de Carli,Trv Eng Celio de Carli,S,Via Pavimentada
11157,115878,TRV ENGENHEIRO CORREIA,Travessa Engenheiro Correia,Trv Eng Correia,X,Não definida
8645,76368,TRV ENGENHO CANTO ALEGRE,Travessa Engenho Canto Alegre,Trv Engenho Canto Alegre,N,Via Não Pavimentada
1508,8540,TRV ENGENHO ESPELHO,Travessa Engenho Espelho,Trv Engenho Espelho,X,Não definida
11418,119113,TRV ENGENHO MURIBECA,Travessa Engenho Muribeca,Trv. Eng. Muribeca,N,Via Não Pavimentada
9236,83640,TRV EPAMINONDAS MENDONçA,Travessa Epaminondas Mendonça,Trv Epaminondas Mendonça,S,Via Pavimentada
11427,119229,TRV ERNESTO DE PAULA SANTOS,Travessa Ernesto de Paula Santos,Trv. Ernesto de Paula Santos,X,Não definida
10725,110191,TRV ERUNDINA NEGREIROS DE ARAUJO,Travessa Erundina Negreiros de Araújo,Trv Erundina Negreiros de Araujo,S,Via Pavimentada
11026,114057,TRV ESCOLA DE SAGRES,Travessa Escola de Sagres,Trv Escola de Sagres,S,Via Pavimentada
11500,120650,TRV ESMERALDA,Travessa Esmeralda,Trv Esmeralda,N,Via Não Pavimentada
8089,70220,TRV ESPERANCA,Travessa Esperança,Trv Esperanca,N,Via Não Pavimentada
11854,701246,TRV ESPINHARA,Travessa Espinhara,Trv Espinhara,X,Não definida
487,40223,TRV ESPINOSA,Travessa Espinosa,Trv Espinosa,X,Não definida
5046,41122,TRV ESTRADA DO BONGI,Travessa Estrada do Bongi,Trv Estrada do Bongi,N,Via Não Pavimentada
10853,111791,TRV ESTRADA DO CURADO,Travessa Estrada do Curado,Trv Estrada do Curado,S,Via Pavimentada
2114,13854,TRV ESTRADA DO ORFANATO,Travessa Estrada do Orfanato,Tr Estrada do Orfanato,N,Via Não Pavimentada
9335,84816,TRV ESTRELA DO LESTE,Travessa Estrela do Leste,Trv Estrela do Leste,X,Não definida
8348,73148,TRV ESTRELA DO MAR,Travessa Estrela do Mar,Trv Estrela do Mar,S,Via Pavimentada
11278,117463,TRV ESTUDANTE ARLINDO ALMEIDA FILHO,Travessa Estudante Arlindo Almeida Filho,Trv Estudante Arlindo Almeida Filho,N,Via Não Pavimentada
6076,50598,TRV ETAPAS,Travessa ETAPAS,Trv Etapas,X,Não definida
11229,116815,TRV EUGENOPOLIS,Travessa Eugenopolis,Trv Eugenopolis,X,Não definida
7946,68373,TRV EVALDO LUIS FERREIRA DE SOUZA,Travessa Evaldo Luis Ferreira de Souza,Trv. Evaldo Luis Ferreira de Souza,S,Via Pavimentada
